Date,"Space-based solar power","Thorium-based nuclear power"
2015-07,8700,15780
2015-08,7871,16826
2015-09,8267,18191
2015-10,9893,21505
2015-11,8131,54869
2015-12,7824,22613
2016-01,8659,21868
2016-02,9879,19280
2016-03,10215,21233
2016-04,9876,19310
2016-05,8786,20515
2016-06,8544,18484
2016-07,8107,14331
2016-08,9448,15508
2016-09,10197,21038
2016-10,33626,25415
2016-11,10709,24228
2016-12,9844,20927
2017-01,9463,23293
2017-02,10289,19834
2017-03,10770,20972
2017-04,8625,18470
2017-05,8194,20929
2017-06,7006,17536
2017-07,7828,15641
2017-08,7737,17543
2017-09,7830,15989
2017-10,8927,14950
2017-11,8696,15236
2017-12,7549,13719
2018-01,8872,15884
2018-02,8991,15416
2018-03,10078,19795
2018-04,8655,17093
2018-05,8164,15894
2018-06,6644,15790
2018-07,7944,12684
2018-08,8396,13615
2018-09,7680,13967
2018-10,9295,15984
2018-11,8630,18360
2018-12,8710,15796
2019-01,9780,16739
2019-02,11610,18156
2019-03,11561,23860
2019-04,8841,21361
2019-05,8294,26754
2019-06,7851,35504
2019-07,7733,24255
2019-08,8073,28063
2019-09,9199,32268
2019-10,11889,33806
2019-11,10137,27289
2019-12,8332,33612
2020-01,8489,31930
2020-02,8234,22327
2020-03,6404,15250
2020-04,6803,14831
2020-05,8444,16369
2020-06,6370,13725
2020-07,5603,14756
2020-08,5839,17021
2020-09,6802,21546
2020-10,7355,19811
2020-11,8743,19667
2020-12,8141,17567
2021-01,8992,18317
2021-02,13189,26085
2021-03,8769,25390
2021-04,9175,21777
2021-05,8325,20099
2021-06,6967,18270
2021-07,7426,20116
2021-08,7387,21781
2021-09,6811,27621
2021-10,8361,24216
2021-11,8456,22549
2021-12,8526,16286
