revid,parentid,user,userid,timestamp,size,comment,tags,page,latitude,longitude,Article
72706044,0,ELApro,73985,2006-08-29T23:00:39Z,9393,,[],Space-based solar power,,,Space-based solar power
72727875,72706044,ELApro,73985,2006-08-30T01:07:19Z,11959,Still initializing article,[],Space-based solar power,,,Space-based solar power
72932349,72727875,ELApro,73985,2006-08-31T00:40:55Z,21286,still initiating,[],Space-based solar power,,,Space-based solar power
72933310,72932349,ELApro,73985,2006-08-31T00:47:01Z,21290,/* History */ Link new ELApro wiki entry: SERT,[],Space-based solar power,,,Space-based solar power
73095344,72933310,68.35.115.89,0,2006-08-31T20:55:30Z,24076,initiate Future section,[],Space-based solar power,34.7686,-87.5583,Space-based solar power
73122292,73095344,ELApro,73985,2006-08-31T23:27:46Z,29866,Add Solar Cells & Concentrator sections,[],Space-based solar power,,,Space-based solar power
86835493,73122292,Darklilac,1660229,2006-11-10T00:26:52Z,29863,/* History */ to to -> to,[],Space-based solar power,,,Space-based solar power
88001898,86835493,68.35.115.89,0,2006-11-15T15:59:58Z,29890,Category:Solar Energy,[],Space-based solar power,34.7686,-87.5583,Space-based solar power
88003562,88001898,ELApro,73985,2006-11-15T16:09:52Z,29918,Category:Electric power,[],Space-based solar power,,,Space-based solar power
98210712,88003562,208.251.195.114,0,2007-01-03T17:26:15Z,29918,,[],Space-based solar power,37.751,-97.822,Space-based solar power
111570045,98210712,203.199.175.2,0,2007-02-28T13:31:22Z,29922,,[],Space-based solar power,20.0,77.0,Space-based solar power
115281963,111570045,59.101.198.67,0,2007-03-15T09:48:08Z,44,"[[WP:AES|←]]Replaced page with '
                                   bum head'",[],Space-based solar power,-34.3493,150.9144,Space-based solar power
115281997,115281963,Woohookitty,159678,2007-03-15T09:48:27Z,29922,Reverted edits by [[Special:Contributions/59.101.198.67|59.101.198.67]] ([[User talk:59.101.198.67|talk]]) to last version by 203.199.175.2,[],Space-based solar power,,,Space-based solar power
117048663,115281997,Chris the speller,525927,2007-03-22T15:36:54Z,29949,Disambiguate link,[],Space-based solar power,,,Space-based solar power
132332884,117048663,Suntech,4424787,2007-05-21T00:37:08Z,30098,/* References */,[],Space-based solar power,,,Space-based solar power
132427803,132332884,Kjkolb,107439,2007-05-21T12:49:01Z,29875,"removed inappropriate and/or redundant categories, wikified, removed extra spaces",[],Space-based solar power,,,Space-based solar power
133670384,132427803,Nihiltres,236191,2007-05-26T17:11:05Z,29890,/* Extraterrestrial intelligence */ Repair link to disambiguation page - [[WP:DPL|You can help!]],[],Space-based solar power,,,Space-based solar power
134336534,133670384,166.113.26.214,0,2007-05-29T15:42:44Z,29896,,[],Space-based solar power,39.6276,-104.7833,Space-based solar power
135691202,134336534,Trotthead08,4556607,2007-06-04T02:01:55Z,28866,,[],Space-based solar power,,,Space-based solar power
135692019,135691202,Moe Epsilon,327589,2007-06-04T02:06:08Z,29896,[[WP:UNDO|Undid]] revision 135691202 by [[Special:Contributions/Trotthead08|Trotthead08]] ([[User talk:Trotthead08|talk]]),[],Space-based solar power,,,Space-based solar power
135695423,135692019,Trotthead08,4556607,2007-06-04T02:24:42Z,29939,,[],Space-based solar power,,,Space-based solar power
135709932,135695423,Trotthead08,4556607,2007-06-04T03:56:31Z,31280,,[],Space-based solar power,,,Space-based solar power
135711454,135709932,Trotthead08,4556607,2007-06-04T04:05:40Z,31290,/* Possible Enviromental Impact */,[],Space-based solar power,,,Space-based solar power
135725284,135711454,Trotthead08,4556607,2007-06-04T05:40:33Z,32370,/* Possible Enviromental Impact */,[],Space-based solar power,,,Space-based solar power
135725430,135725284,Trotthead08,4556607,2007-06-04T05:41:34Z,32369,,[],Space-based solar power,,,Space-based solar power
