revid,parentid,user,userid,timestamp,size,comment,tags,page,latitude,longitude,Article
24342270,0,Iain.mcclatchie,35676,2005-09-29T20:12:36Z,1284,Split off from [[Wind power]],[],Airborne wind turbine,,,Airborne wind turbine
24356524,24342270,Iain.mcclatchie,35676,2005-09-29T23:36:20Z,1364,Excavated reference from [[wind turbine]] page,[],Airborne wind turbine,,,Airborne wind turbine
24371050,24356524,Iain.mcclatchie,35676,2005-09-30T03:21:13Z,1639,Added a reference.  Someone please help fix this thing.,[],Airborne wind turbine,,,Airborne wind turbine
24376132,24371050,User2004,85879,2005-09-30T04:58:30Z,1670,/* References */ +cat:Renewable energy,[],Airborne wind turbine,,,Airborne wind turbine
28011744,24376132,SEWilcoBot,303026,2005-11-11T09:26:00Z,1662,SEWilcoBot: consolidating citation templates,[],Airborne wind turbine,,,Airborne wind turbine
31038908,28011744,Ze miguel,457631,2005-12-12T11:38:52Z,1656,Sharper category,[],Airborne wind turbine,,,Airborne wind turbine
31471850,31038908,Aliensvortex,464966,2005-12-15T14:54:35Z,1684,wikify,[],Airborne wind turbine,,,Airborne wind turbine
33311678,31471850,Sillybilly,282350,2005-12-30T23:31:24Z,1688,,[],Airborne wind turbine,,,Airborne wind turbine
41418520,33311678,Incoherent fool,574413,2006-02-27T04:46:57Z,1691,,[],Airborne wind turbine,,,Airborne wind turbine
41755428,41418520,Ligulembot,723279,2006-03-01T14:43:28Z,1698,migrate {{web reference}} to {{[[template:cite web|cite web]]}} using [[Wikipedia:AutoWikiBrowser|AWB]],[],Airborne wind turbine,,,Airborne wind turbine
42919519,41755428,Eassin,1003588,2006-03-09T04:17:24Z,1758,,[],Airborne wind turbine,,,Airborne wind turbine
42919550,42919519,Eassin,1003588,2006-03-09T04:17:42Z,1756,,[],Airborne wind turbine,,,Airborne wind turbine
43514437,42919550,BD2412,196446,2006-03-13T01:00:50Z,1768,[[Wikipedia:Disambiguation pages with links]] using [[Wikipedia:AutoWikiBrowser|AWB]],[],Airborne wind turbine,,,Airborne wind turbine
58092877,43514437,Wtshymanski,139104,2006-06-11T21:13:02Z,2612,"organization, classify the two forms of this imaginary technology",[],Airborne wind turbine,,,Airborne wind turbine
58099635,58092877,Wtshymanski,139104,2006-06-11T21:58:33Z,2625,useful link,[],Airborne wind turbine,,,Airborne wind turbine
66271757,58099635,Jwanders,171991,2006-07-28T01:46:59Z,2625,/* References */,[],Airborne wind turbine,,,Airborne wind turbine
75260724,66271757,61.68.169.146,0,2006-09-12T09:36:48Z,2644,/* Aerodynamic variety */,[],Airborne wind turbine,-35.0055,138.5734,Airborne wind turbine
75260805,75260724,Omicronpersei8,1353037,2006-09-12T09:37:33Z,2625,Reverted edits by [[Special:Contributions/61.68.169.146|61.68.169.146]] ([[User talk:61.68.169.146|talk]]) to version 66271757 by Jwanders using [[WP:SNIPE|VS]],[],Airborne wind turbine,,,Airborne wind turbine
92396814,75260805,206.124.154.69,0,2006-12-06T05:07:41Z,2625,"/* Aerostat variety */ Changed acronym ""MAPS"" to ""MARS"" -- correct according to Magenn website.",[],Airborne wind turbine,47.7543,-122.1635,Airborne wind turbine
111535718,92396814,Thijs!bot,1392310,2007-02-28T08:21:24Z,2661,robot  Adding: [[de:Fliegende Windenergieanlage]],[],Airborne wind turbine,,,Airborne wind turbine
119478337,111535718,Ccpoodle,3997381,2007-04-01T13:08:19Z,2889,I added the 3 sentenses about hot air balloons,[],Airborne wind turbine,,,Airborne wind turbine
121205112,119478337,68.36.52.82,0,2007-04-08T16:01:17Z,2883,,[],Airborne wind turbine,42.6414,-83.7188,Airborne wind turbine
123183160,121205112,Pro crast in a tor,1634866,2007-04-16T06:23:05Z,2801,/* Aerostat variety */ removed signed name in article,[],Airborne wind turbine,,,Airborne wind turbine
123194836,123183160,Ciphergoth,9493,2007-04-16T07:56:32Z,2809,/* Aerostat variety */ link needed for large sun heated balloons.,[],Airborne wind turbine,,,Airborne wind turbine
123285106,123194836,SmackBot,433328,2007-04-16T16:38:51Z,2824,Date/fix the maintenance tags,[],Airborne wind turbine,,,Airborne wind turbine
136307409,123285106,152.91.8.100,0,2007-06-06T08:44:27Z,2824,/* Aerostat variety */,[],Airborne wind turbine,-37.8103,144.9544,Airborne wind turbine
138439697,136307409,New Thought,242259,2007-06-15T22:04:32Z,3418,Estimated costs section,[],Airborne wind turbine,,,Airborne wind turbine
138440111,138439697,New Thought,242259,2007-06-15T22:07:02Z,3445,references section added,[],Airborne wind turbine,,,Airborne wind turbine
150376202,138440111,Johnfos,3046455,2007-08-10T11:33:10Z,3638,adding See also,[],Airborne wind turbine,,,Airborne wind turbine
155841858,150376202,Mahjongg,5681,2007-09-05T14:18:14Z,3994,/* Aerodynamic variety */,[],Airborne wind turbine,,,Airborne wind turbine
159329799,155841858,Pro crast in a tor,1634866,2007-09-21T05:28:10Z,3923,article cleanup,[],Airborne wind turbine,,,Airborne wind turbine
160461976,159329799,HarryHenryGebel,20521,2007-09-26T13:14:58Z,3918,"[[Wikipedia:Typo|You can help!]], Replaced: and and  →  and  using [[Project:AutoWikiBrowser|AWB]]",[],Airborne wind turbine,,,Airborne wind turbine
169903029,160461976,204.80.61.110,0,2007-11-07T17:33:15Z,4106,Added that bad weather could temporary suspend the use of the machines.,[],Airborne wind turbine,42.661,-73.7593,Airborne wind turbine
173227600,169903029,206.124.138.125,0,2007-11-23T04:55:42Z,4108,typo,[],Airborne wind turbine,47.6201,-122.1408,Airborne wind turbine
173494605,173227600,Wavelength,271168,2007-11-24T15:42:53Z,4143,"wikifying some expressions; correcting spelling: --> ""lightning"" and --> ""ex-astronaut""",[],Airborne wind turbine,,,Airborne wind turbine
177019882,173494605,128.128.168.218,0,2007-12-10T17:25:07Z,4172,/* Aerostat variety */ update,[],Airborne wind turbine,41.5281,-70.6535,Airborne wind turbine
181405514,177019882,Wtshymanski,139104,2008-01-01T17:02:25Z,4933,"move details from  [[wind power]]; inlined reference, notes section is really references",[],Airborne wind turbine,,,Airborne wind turbine
182582298,181405514,Wtshymanski,139104,2008-01-06T19:43:48Z,5027,kitegen advantage,[],Airborne wind turbine,,,Airborne wind turbine
182796595,182582298,Dbiagioli,609264,2008-01-07T20:12:16Z,5320,/* References */,[],Airborne wind turbine,,,Airborne wind turbine
182797054,182796595,Dbiagioli,609264,2008-01-07T20:14:17Z,5726,/* Aerodynamic variety */ -2 template,[],Airborne wind turbine,,,Airborne wind turbine
182797410,182797054,Dbiagioli,609264,2008-01-07T20:15:51Z,5727,/* externa links */,[],Airborne wind turbine,,,Airborne wind turbine
182813442,182797410,Will Beback,737021,2008-01-07T21:27:21Z,5726,hdgs,[],Airborne wind turbine,,,Airborne wind turbine
183099049,182813442,Ourshalf ourshalf,6151112,2008-01-09T02:53:28Z,5727,Revert to the revision prior to revision 182813442 dated 2008-01-07 21:27:21 by Will Beback using [[:en:Wikipedia:Tools/Navigation_popups|popups]],[],Airborne wind turbine,,,Airborne wind turbine
183100093,183099049,Nakon,676502,2008-01-09T02:59:39Z,5726,Reverted edits by [[Special:Contributions/Ourshalf ourshalf|Ourshalf ourshalf]] ([[User talk:Ourshalf ourshalf|talk]]) to last version by Will Beback,[],Airborne wind turbine,,,Airborne wind turbine
185084725,183100093,SieBot,4005189,2008-01-17T22:56:54Z,5777,"robot  Adding: [[eo:Kajta generatoro]], [[it:Kite Wind Generator]]",[],Airborne wind turbine,,,Airborne wind turbine
189551943,185084725,DumZiBoT,6085301,2008-02-06T18:55:05Z,5857,Bot: Converting [[User:DumZiBoT/refLinks|bare references]],[],Airborne wind turbine,,,Airborne wind turbine
193314404,189551943,41.233.98.13,0,2008-02-22T18:13:40Z,5864,/* Aerodynamic variety */,[],Airborne wind turbine,30.0081,31.2109,Airborne wind turbine
196287156,193314404,KD5TVI,525077,2008-03-06T14:33:26Z,5721,"Copy edit, remove spam",[],Airborne wind turbine,,,Airborne wind turbine
197919445,196287156,Omegatron,18931,2008-03-13T08:32:24Z,5734,,[],Airborne wind turbine,,,Airborne wind turbine
198034783,197919445,Dbiagioli,609264,2008-03-13T20:09:22Z,5722,,[],Airborne wind turbine,,,Airborne wind turbine
199016259,198034783,Omegatron,18931,2008-03-18T03:58:47Z,5742,/* Aerostat variety */,[],Airborne wind turbine,,,Airborne wind turbine
208636101,199016259,Teratornis,1315076,2008-04-27T23:31:29Z,5758,add [[Template:Wind power]],[],Airborne wind turbine,,,Airborne wind turbine
209649765,208636101,83.181.170.4,0,2008-05-02T07:49:51Z,5756,/* Aerodynamic variety */,[],Airborne wind turbine,54.6833,25.3167,Airborne wind turbine
210264133,209649765,24.34.230.158,0,2008-05-05T06:00:08Z,6102,,[],Airborne wind turbine,41.8387,-71.3187,Airborne wind turbine
210264554,210264133,24.34.230.158,0,2008-05-05T06:04:06Z,6104,,[],Airborne wind turbine,41.8387,-71.3187,Airborne wind turbine
210868890,210264554,Dbiagioli,609264,2008-05-07T19:37:00Z,6278,/* Aerostat variety */,[],Airborne wind turbine,,,Airborne wind turbine
220525622,210868890,Teratornis,1315076,2008-06-20T08:11:53Z,6296,/* Aerostat variety */ add link on [[Solar balloon|sun heated balloons]],[],Airborne wind turbine,,,Airborne wind turbine
228593833,220525622,151.61.157.216,0,2008-07-29T12:54:07Z,6248,,[],Airborne wind turbine,45.6667,12.245,Airborne wind turbine
228598960,228593833,Wtshymanski,139104,2008-07-29T13:29:52Z,6225,copyedit; still no airborne turbines,[],Airborne wind turbine,,,Airborne wind turbine
228991538,228598960,Lightbot,7178666,2008-07-31T10:38:21Z,6250,Units/dates/other,[],Airborne wind turbine,,,Airborne wind turbine
231047674,228991538,4.240.15.101,0,2008-08-10T16:59:45Z,6312,~ender - add link for laddermill,[],Airborne wind turbine,37.751,-97.822,Airborne wind turbine
231660046,231047674,Dpwkbw,482181,2008-08-13T11:17:06Z,6360,skywindpower.com,[],Airborne wind turbine,,,Airborne wind turbine
231663267,231660046,Dpwkbw,482181,2008-08-13T11:46:32Z,6348,clarity,[],Airborne wind turbine,,,Airborne wind turbine
231673625,231663267,82.150.92.2,0,2008-08-13T12:59:43Z,6363,/* Estimated costs */,[],Airborne wind turbine,41.0214,28.9948,Airborne wind turbine
231673875,231673625,82.150.92.2,0,2008-08-13T13:01:24Z,6391,/* Estimated costs */,[],Airborne wind turbine,41.0214,28.9948,Airborne wind turbine
231674083,231673875,82.150.92.2,0,2008-08-13T13:02:49Z,6408,/* Estimated costs */,[],Airborne wind turbine,41.0214,28.9948,Airborne wind turbine
231682362,231674083,Wtshymanski,139104,2008-08-13T13:56:54Z,6348,rv v,[],Airborne wind turbine,,,Airborne wind turbine
234846511,231682362,Janko,13531,2008-08-28T19:59:42Z,6347,/* Aerostat variety */punctuation,[],Airborne wind turbine,,,Airborne wind turbine
240211565,234846511,Global frozing,7913005,2008-09-22T12:15:41Z,6402,/* External links */,[],Airborne wind turbine,,,Airborne wind turbine
