term,score
eu,44
fed,40
nasa,37
electron,23
mercury,23
the european union,23
membrane,22
proton exchange,21
psi,21
mit,20
watt,19
toyota,19
the united states department of energy,19
quantum,19
siemens,18
ge,18
hydrogen,18
fushun,17
ac,17
un,16
honda,16
silicon,16
alberta taciuk,15
james watt,15
doe,15
the international energy agency,15
tosco ii,14
general electric,14
epa,14
congress,14
bin,13
voc,13
quantum dots,13
proton,13
arrays,13
shell,12
the united nations,12
wikimedia commons,12
ford,12
ac power,12
the international atomic energy agency,12
darwin,11
fluid,11
iea,11
oxygen,11
john,11
the u.s. department of energy,11
membranes,11
iaea,11
ac,10
general motors,10
coke,10
linear,10
usa,10
cambridge university press,10
anode,10
cigs,10
ed,10
co2,10
the university of michigan,9
the us department of energy,9
boeing,9
alkali,9
pwr,9
bwr,9
thomas,9
martin,9
bbc,9
chevrolet,9
arc,9
the department of energy,8
xenon,8
h2,8
pvc,8
nacelle,8
the european union's,8
ag,8
fukushima,8
e.on,8
the national renewable energy laboratory,8
journal,8
navy,8
westinghouse,8
bell labs,8
sun,8
electrolyte membrane,8
w/m2,8
european union,8
digital,7
ohm,7
richard trevithick,7
sic,7
mazda,7
pv,7
external power,7
thomas edison,7
yaw,7
the european commission,7
los alamos national laboratory,7
google,7
isc,7
johnson,7
glass,7
leonardo da vinci,7
algorithm,7
newton,7
audi,7
international atomic energy agency,7
hydrogen technologies,7
albert einstein,7
ysz,7
volkswagen,7
zno,7
kelvin,6
charles,6
tx,6
chevron,6
thomas newcomen,6
john smeaton,6
cardboard,6
the new york times,6
mcgraw-hill,6
john wiley & sons,6
nrc,6
royal navy,6
uranium-235,6
oak ridge national laboratory,6
the united states navy,6
yaw,6
anderson,6
hydro power,6
ma,6
the world nuclear association,6
david,6
house,6
bismuth,6
shockley,6
hydro,6
underfloor,5
bell,5
biogas,5
eta,5
john ericsson,5
ericsson,5
gm,5
massachusetts institute of technology,5
"the university of california, berkeley",5
cvd,5
nrel,5
mitsubishi,5
exxonmobil,5
el,5
nanocrystalline,5
cooperatives,5
nrl,5
peter,5
michael,5
hyundai,5
jack,5
methane,5
coca-cola,5
fermi,5
nm,5
afc,5
photovoltaic systems,5
einstein,5
lpg,5
cng,5
sandia national laboratories,5
eth,5
de gruyter,5
photovoltaic power,5
enrico fermi,5
william,5
nissan,5
the proton exchange,5
trevithick,5
william murdoch,5
james,5
the us navy,5
the u.s. navy,5
megawatt,5
mm,5
wwf,5
oecd,5
the world bank,5
the membrane electrode assembly,5
mn,5
mohamed m. atalla,5
thomas johann,5
piston,5
thomson,5
photovoltaic,5
the massachusetts institute of technology,5
northwestern university,5
mpp,5
kerosene,5
lsm,5
