Article,NE-text,NE-type,NE-count
Geothermal heating,seventy,CARDINAL,1
Geothermal heating,270,CARDINAL,1
Geothermal heating,2004,DATE,4
Geothermal heating,2007,DATE,1
Geothermal heating,28,CARDINAL,1
Geothermal heating,0.07%,PERCENT,1
Geothermal heating,around 20%,PERCENT,1
Geothermal heating,earth,LOC,3
Geothermal heating,6 metres,QUANTITY,1
Geothermal heating,20 ft,QUANTITY,1
Geothermal heating,between 50,CARDINAL,2
Geothermal heating,122,CARDINAL,2
Geothermal heating,150,CARDINAL,2
Geothermal heating,302,CARDINAL,2
Geothermal heating,between 25,CARDINAL,1
Geothermal heating,77,CARDINAL,1
Geothermal heating,90,CARDINAL,1
Geothermal heating,194,CARDINAL,1
Geothermal heating,100,CARDINAL,1
Geothermal heating,212,CARDINAL,1
Geothermal heating,5,CARDINAL,1
Geothermal heating,41,CARDINAL,1
Geothermal heating,more than half,CARDINAL,1
Geothermal heating,third,ORDINAL,1
Geothermal heating,reykjavík,PERSON,1
Geothermal heating,reykjavík,NORP,1
Geothermal heating,iceland,GPE,6
Geothermal heating,boise,GPE,2
Geothermal heating,idaho,GPE,3
Geothermal heating,klamath falls,PERSON,1
Geothermal heating,oregon,GPE,3
Geothermal heating,europe,LOC,1
Geothermal heating,280,CARDINAL,1
Geothermal heating,2016,DATE,1
Geothermal heating,the european geothermal energy council,ORG,1
Geothermal heating,approximately 4.9,CARDINAL,1
Geothermal heating,japan,GPE,1
Geothermal heating,"2,100m",MONEY,1
Geothermal heating,36mw,ORDINAL,1
Geothermal heating,first,ORDINAL,6
Geothermal heating,10,CARDINAL,1
Geothermal heating,10–12,ORG,1
Geothermal heating,50–54 °,GPE,1
Geothermal heating,seasonally,DATE,1
Geothermal heating,50–400 feet,QUANTITY,1
Geothermal heating,approximately six feet,QUANTITY,1
Geothermal heating,the summer months,DATE,1
Geothermal heating,an estimated million,CARDINAL,1
Geothermal heating,15,CARDINAL,1
Geothermal heating,88,CARDINAL,1
Geothermal heating,10%,PERCENT,1
Geothermal heating,annually,DATE,1
Geothermal heating,china,GPE,1
Geothermal heating,mount li,LOC,1
Geothermal heating,the qin dynasty in the 3rd century,DATE,1
Geothermal heating,the first century,DATE,1
Geothermal heating,romans,NORP,1
Geothermal heating,aquae sulis,PERSON,1
Geothermal heating,england,GPE,1
Geothermal heating,underfloor,ORG,1
Geothermal heating,one,CARDINAL,1
Geothermal heating,france,GPE,1
Geothermal heating,the 14th century,DATE,1
Geothermal heating,1827,DATE,1
Geothermal heating,larderello,GPE,1
Geothermal heating,italy,GPE,1
Geothermal heating,1892,DATE,1
Geothermal heating,america,GPE,1
Geothermal heating,klamath,GPE,1
Geothermal heating,1900,DATE,1
Geothermal heating,1926,DATE,1
Geothermal heating,charlie lieb,PERSON,1
Geothermal heating,1930,DATE,1
Geothermal heating,1943,DATE,1
Geothermal heating,kelvin,PERSON,1
Geothermal heating,1852,DATE,1
Geothermal heating,1912,DATE,1
Geothermal heating,the late 1940s,DATE,1
Geothermal heating,robert c. webber's,PERSON,1
Geothermal heating,2.2 kw,QUANTITY,1
Geothermal heating,j. donald kroeker,PERSON,1
Geothermal heating,portland,GPE,1
Geothermal heating,1946,DATE,1
Geothermal heating,carl nielsen,PERSON,1
Geothermal heating,ohio state university,ORG,1
Geothermal heating,1948,DATE,1
Geothermal heating,sweden,GPE,2
Geothermal heating,1973,DATE,1
Geothermal heating,1979,DATE,1
Geothermal heating,12,CARDINAL,1
Geothermal heating,each year,DATE,1
Geothermal heating,"about 80,000",CARDINAL,1
Geothermal heating,us,GPE,1
Geothermal heating,"27,000",CARDINAL,1
Geothermal heating,u.s.,GPE,1
Geothermal heating,geo-exchange,ORG,2
Geothermal heating,30–70 percent,ORG,1
Geothermal heating,20–50 percent,PERCENT,1
Geothermal heating,last for decades,DATE,1
Geothermal heating,kansas city power,ORG,1
Geothermal heating,winter,DATE,1
Geothermal heating,the spring of 2007,DATE,1
Geothermal heating,rocky mechanical characteristics,ORG,1
Geothermal heating,oregon institute of technology -,ORG,1
Geothermal heating,the us national renewable energy lab,ORG,1
Geothermal heating,canadian,NORP,1
Glow stick,1971,DATE,1
Glow stick,michael m. rauhut,PERSON,1
Glow stick,laszlo j. bollyky,PERSON,1
Glow stick,robert w. sombathy,PERSON,1
Glow stick,american cyanamid,ORG,1
Glow stick,edwin a. chandross,PERSON,1
Glow stick,bell,ORG,1
Glow stick,herbert richter,PERSON,1
Glow stick,china lake naval,FAC,1
Glow stick,us,GPE,1
Glow stick,bernard dubrow,PERSON,1
Glow stick,eugene daniel guth,PERSON,1
Glow stick,june 1965,DATE,1
Glow stick,october 1973,DATE,1
Glow stick,clarence w. gilliam,PERSON,1
Glow stick,david iba sr.,PERSON,1
Glow stick,thomas n. hall,PERSON,1
Glow stick,june 1974,DATE,1
Glow stick,herbert p. richter,PERSON,1
Glow stick,ruth e. tedrick,PERSON,1
Glow stick,inventors.in,PERSON,1
Glow stick,january 1976,DATE,1
Glow stick,vincent j. esposito,PERSON,1
Glow stick,steven m. little,PERSON,1
Glow stick,john h. lyons,PERSON,1
Glow stick,second,ORDINAL,5
Glow stick,december 1977,DATE,1
Glow stick,richard taylor van zandt,PERSON,1
Glow stick,the early 1980s,DATE,1
Glow stick,novato,GPE,1
Glow stick,california,GPE,2
Glow stick,omniglow corp.,ORG,1
Glow stick,american cyanamid's,ORG,1
Glow stick,1994,DATE,1
Glow stick,2014,DATE,1
Glow stick,today,DATE,1
Glow stick,china,GPE,1
Glow stick,glow sticks,PERSON,1
Glow stick,150 metres,QUANTITY,1
Glow stick,492,CARDINAL,1
Glow stick,2,CARDINAL,2
Glow stick,the university of wisconsin–whitewater's,ORG,1
Glow stick,150th,CARDINAL,1
Glow stick,whitewater,GPE,1
Glow stick,wisconsin,GPE,1
Glow stick,9 september 2018,DATE,1
Glow stick,night,TIME,1
Glow stick,scuba,PERSON,1
Glow stick,close-quarters,DATE,1
Glow stick,nighttime,CARDINAL,1
Glow stick,un,ORG,1
Glow stick,two,CARDINAL,6
Glow stick,brittle container,ORG,1
Glow stick,one,CARDINAL,1
Glow stick,only a few seconds,TIME,1
Glow stick,first,ORDINAL,2
Glow stick,as much as 200,CARDINAL,1
Glow stick,about 20–100 nm,QUANTITY,1
Glow stick,"9,10-diphenylanthracene",CARDINAL,1
Glow stick,anthracene,PERSON,1
Glow stick,"teal light
",QUANTITY,1
Glow stick,"2-chloro-9,10-diphenylanthracene",PERSON,1
Glow stick,486 nm,QUANTITY,1
Glow stick,"1-chloro-9,10-bis(phenylethynyl)anthracene",CARDINAL,1
Glow stick,"2-chloro-9,10-bis(phenylethynyl)anthracene",CARDINAL,1
Glow stick,550 nm,QUANTITY,1
Glow stick,"2,4-di",DATE,1
Glow stick,"1,4,5,8-tetracarboxynaphthalene",CARDINAL,1
Glow stick,rhodamine,NORP,1
Glow stick,"5,12-bis(phenylethynyl)naphthacene",CARDINAL,1
Glow stick,630 nm,QUANTITY,1
Glow stick,680 nm,QUANTITY,1
Glow stick,"16,17-dihexyloxyviolanthrone",CARDINAL,1
Glow stick,725,CARDINAL,1
Glow stick,"16,17-butyloxyviolanthrone",CARDINAL,1
Glow stick,"n'-bis(2,5,-di",CARDINAL,1
Glow stick,dibutyl phthalate,PERSON,1
Glow stick,"1,n6-εdado",CARDINAL,1
Glow stick,three-fold,CARDINAL,1
Glow stick,the 2020s,DATE,1
Glow stick,canadian,NORP,1
Glow stick,lumi,PERSON,1
Glow stick,glowsticks,PERSON,1
Engine power plant,within few minutes,TIME,1
Engine power plant,biogas,PERSON,1
Engine power plant,electricity & heat,ORG,1
Engine power plant,european engine power plants association,ORG,1
Mean effective pressure,watt,PERSON,1
Mean effective pressure,cubic,NORP,1
Mean effective pressure,"2
      
    
    ",CARDINAL,1
Mean effective pressure,"\displaystyle n}
   ",WORK_OF_ART,1
Mean effective pressure,second,ORDINAL,4
Mean effective pressure,mep,ORG,3
Mean effective pressure,n_{\text{c}}}{t \over v_{\text{d}}},WORK_OF_ART,1
Mean effective pressure,two,CARDINAL,4
Mean effective pressure,four,CARDINAL,4
Mean effective pressure,160,CARDINAL,8
Mean effective pressure,n·m,GPE,2
Mean effective pressure,2000,CARDINAL,5
Mean effective pressure,2,CARDINAL,11
Mean effective pressure,\displaystyle n_{\text{c}}=2,WORK_OF_ART,4
Mean effective pressure,0.002,CARDINAL,1
Mean effective pressure,3,CARDINAL,4
Mean effective pressure,1,CARDINAL,3
Mean effective pressure,005,CARDINAL,1
Mean effective pressure,310,CARDINAL,1
Mean effective pressure,10.05,CARDINAL,1
Mean effective pressure,1.005,CARDINAL,4
Mean effective pressure,"2}{{160\,{\text{n}}{\cdot",CARDINAL,2
Mean effective pressure,"0.002\,{\text{m}}^{3}}}={2\pi",CARDINAL,1
Mean effective pressure,"2}{{160\,{\text{n}}{\cancel",CARDINAL,2
Mean effective pressure,"3}}2}}}=1,005,310\,{\text{n}}{\cdot",CARDINAL,1
Mean effective pressure,2000,DATE,2
Mean effective pressure,"2000\,{\text{cm}}^{3}}}={2\pi",CARDINAL,1
Mean effective pressure,"n
            
            
              ",ORG,1
Mean effective pressure,3600,CARDINAL,2
Mean effective pressure,min−1,WORK_OF_ART,1
Mean effective pressure,−,ORG,2
Mean effective pressure,60,CARDINAL,3
Mean effective pressure,⋅,PRODUCT,3
Mean effective pressure,300,CARDINAL,1
Mean effective pressure,1.005\cdot,CARDINAL,1
Mean effective pressure,"\over 2}=60,300\,{\text{w",PRODUCT,1
Mean effective pressure,76 kw,QUANTITY,1
Mean effective pressure,5400,CARDINAL,2
Mean effective pressure,min−1,PRODUCT,1
Mean effective pressure,90,CARDINAL,4
