text,type,count-occurences-total,count-documents
Coronavirus,ORG,8,7
2019,DATE,274,240
one,CARDINAL,153,138
three,CARDINAL,204,167
first,ORDINAL,198,174
2022,CARDINAL,20,20
Sina Weibo,GPE,1,1
ELM,ORG,1,1
Second,ORDINAL,26,26
Canada,GPE,4,3
the Canadian Perspective Survey Series,ORG,1,1
"July 20 to 26, 2020",DATE,1,1
Anxiety,PERSON,1,1
two,CARDINAL,317,264
1≤,CARDINAL,1,1
GAD,ORG,7,1
10,CARDINAL,12,12
"3,779",CARDINAL,1,1
Canadian,NORP,1,1
76.3%,PERCENT,1,1
>25 years,DATE,1,1
85.4%,PERCENT,1,1
87.9%,PERCENT,1,1
13.6%,PERCENT,1,1
17.2%,PERCENT,1,1
9.9%,PERCENT,1,1
p<0.001,ORG,1,1
"2,016",CARDINAL,1,1
99%,PERCENT,7,2
2.19,CARDINAL,1,1
11.01,CARDINAL,1,1
1.18–4.33,DATE,1,1
no past-week,DATE,1,1
"1,753",CARDINAL,1,1
3.14,CARDINAL,1,1
6.55,CARDINAL,1,1
1.31,CARDINAL,1,1
5.27,CARDINAL,1,1
OR=1.91,GPE,1,1
CI:1.07–3.42,ORG,1,1
the last years,DATE,7,7
DeepFakes,ORG,4,3
1st,ORDINAL,1,1
UADFV,ORG,2,2
FaceForensics++,ORG,2,2
2nd,ORDINAL,1,1
Celeb-DF,ORG,3,2
DFDC,ORG,2,2
both 1st,DATE,1,1
2nd DeepFakes,ORG,1,1
Two,CARDINAL,27,24
DSP-FWA,ORG,1,1
above 99%,PERCENT,1,1
UADFV,GPE,1,1
FaceForensics++,GPE,1,1
ISOT,ORG,10,6
Firstly,ORDINAL,7,7
Secondly,ORDINAL,12,12
Science,GPE,1,1
every day,DATE,5,5
CheckerOrSpreader,ORG,3,2
CNN,ORG,39,28
2021,CARDINAL,307,302
Corneille,PERSON,1,1
Mierop,GPE,1,1
2021,DATE,106,102
Corneille et al,PERSON,1,1
2020,DATE,72,70
1,CARDINAL,95,82
2,CARDINAL,111,94
3,CARDINAL,70,60
Jérémy Béna,PERSON,1,1
four,CARDINAL,97,88
29,CARDINAL,1,1
40,CARDINAL,4,4
JATOS/OSWeb,ORG,1,1
Python,GPE,3,3
Béna,PERSON,4,1
WHO,ORG,14,10
Google,ORG,38,21
between 30 March,DATE,1,1
27,CARDINAL,3,3
April 2020,DATE,4,4
Coronavirus,PERSON,1,1
Australia,GPE,12,10
France,GPE,14,12
Germany,GPE,25,25
Italy,GPE,29,19
Poland,GPE,5,4
Singapore,GPE,13,8
Spain,GPE,61,48
UK,GPE,43,34
USA,GPE,10,10
685,CARDINAL,2,2
News,ORG,7,2
47%,PERCENT,1,1
Governmental,ORG,1,1
19%,PERCENT,1,1
131/685,ORG,1,1
Health portals,ORG,1,1
2%,PERCENT,1,1
Scientific,ORG,1,1
5%,PERCENT,3,3
0.001,CARDINAL,17,8
United States,GPE,6,6
Governmental,NORP,1,1
20,CARDINAL,10,10
2022,DATE,7,7
Licensee MDPI,PERSON,88,88
Basel,GPE,89,89
Switzerland,GPE,90,90
COVID-19,PRODUCT,6,6
third,ORDINAL,50,38
the United States,GPE,41,37
the Journal of Medical Internet Research,ORG,8,4
Social Media,ORG,8,8
Ethics,ORG,1,1
Michael A Gisondi,PERSON,1,1
Rachel Barber,PERSON,1,1
Jemery Samuel Faust,PERSON,1,1
Ali Raja,PERSON,1,1
Matthew C Strehlow,PERSON,1,1
Lauren M Westafer,PERSON,1,1
Michael Gottlieb,PERSON,1,1
OSM,ORG,4,3
NLP,ORG,38,30
Twitter,PRODUCT,5,5
TF-IDF,ORG,10,6
greater than 85%,PERCENT,1,1
approximately 6%,PERCENT,1,1
up to 90%,PERCENT,2,2
Weibo,GPE,17,14
FMFN,ORG,1,1
First Amendment,LAW,1,1
Latent Direchlet Allocation,ORG,1,1
second,ORDINAL,68,64
Elsevier Inc.,ORG,8,8
The Web of Science Core Collection,WORK_OF_ART,1,1
ALL=(misinformati,PERSON,1,1
disinformati,PERSON,1,1
ALL=(medic,PERSON,1,1
YouTube,WORK_OF_ART,3,3
Whatsapp,PERSON,2,2
VOSviewer,ORG,1,1
RESULTS,ORG,3,3
529,CARDINAL,2,2
13.7,CARDINAL,1,1
Instagram,NORP,25,15
WhatsApp,ORG,49,31
8.7,CARDINAL,1,1
44.1%,PERCENT,1,1
YouTube,CARDINAL,4,4
Facebook,ORG,57,47
half,CARDINAL,9,7
80%,PERCENT,3,3
China,GPE,33,25
TikTok,ORG,7,3
Chinese,NORP,15,13
Douyin,WORK_OF_ART,1,1
non-English,NORP,1,1
Andy Wai Kan Yeung,PERSON,1,1
Anela Tosevska,PERSON,1,1
Elisabeth Klager,PERSON,1,1
Fabian Eibensteiner,PERSON,1,1
Christos Tsagkaris,PERSON,1,1
Emil D Parvanov,PERSON,1,1
Faisal A Nawaz,PERSON,1,1
Eva Schaden,PERSON,1,1
Maria Kletecka-Pulker,PERSON,1,1
Harald Willschke,PERSON,1,1
Atanas G Atanasov,PERSON,1,1
25.01.2022,ORG,1,1
the Student Doctor Network,ORG,1,1
recent years,DATE,63,61
SDN,PRODUCT,6,2
the National Resident Matching Program,ORG,1,1
MD,ORG,1,1
2014,DATE,23,18
2016,DATE,89,75
2018,DATE,196,167
NRMP,ORG,4,1
each respective year,DATE,1,1
RESULTS,PERSON,2,2
360,CARDINAL,1,1
the years,DATE,8,8
79%,PERCENT,3,3
Google Docs,FAC,1,1
the first two years,DATE,1,1
United States Medical Licensing Examination,ORG,1,1
USMLE,ORG,3,1
SDN,ORG,4,2
the most recent year,DATE,3,1
234,CARDINAL,1,1
95%,PERCENT,7,5
CI,ORG,5,3
233,CARDINAL,3,3
2 scores,QUANTITY,1,1
250,CARDINAL,3,3
248,CARDINAL,1,1
231,CARDINAL,2,2
241,CARDINAL,2,2
all years,DATE,1,1
Alpha Omega Alpha Honor Medical Society,ORG,1,1
